Name,Username,Url,Followers,Following,Tweets,Bio,Can_DM,Location,Joined_X,Translator,Likes,BlueTick,DefaultPic,RawScore,TotalScore
MideStarrs,https://x.com/MideStarrs,810,3877,5424,6022
,,810,3877,5424,94
,,810,3877,5424,94
False,"Lagos,810,3877,5424,94
ShiTijani,https://x.com/ShiTijani,394,721,7665,100
Abiola_Mykell,https://x.com/Abiola_Mykell,323,778,19122,100
queenjelilah,https://x.com/queenjelilah,1907,41,905,89
godo_quadri,https://x.com/godo_quadri,510,854,5878,100
OloladeZee,https://x.com/OloladeZee,1612,540,2424,100
SmartXchange6,https://x.com/SmartXchange6,1983,4846,5981,100
macjohnamazing,https://x.com/macjohnamazing,4690,4551,31495,100
Bmutuku25,https://x.com/Bmutuku25,476,1767,62,94
drea_andrew2,https://x.com/drea_andrew2,589,420,151,100
Bigfish45666207,https://x.com/Bigfish45666207,258,839,2271,2518
 ask your questions I'll answer",False,258,839,2271,94
RuthJos05154020,https://x.com/RuthJos05154020,478,892,610,89
yrn_timi,https://x.com/yrn_timi,542,1757,11432,94
TProsh,https://x.com/TProsh,723,2542,733,83
ChaaseRiceMusix,https://x.com/ChaaseRiceMusix,63,1612,368,89
Aofemo59Olo9488,https://x.com/Aofemo59Olo9488,29,103,0,78
GustavoD1938,https://x.com/GustavoD1938,36,91,12,89
sir__a__s,https://x.com/sir__a__s,685,2333,499,89
walezee19,https://x.com/walezee19,390,895,2634,100
Siliconvalleyho,https://x.com/Siliconvalleyho,229,1136,13,3
False,"Lekki,229,1136,13,89
flingdutchman2,https://x.com/flingdutchman2,813,2157,2188,100
manudino02,https://x.com/manudino02,188,983,249,94
DagzLuxuries,https://x.com/DagzLuxuries,1661,4748,6346,100
grandkingz007,https://x.com/grandkingz007,1018,3717,77290,94
GozieFct,https://x.com/GozieFct,1692,4916,30391,100
Chinons73431708,https://x.com/Chinons73431708,317,978,2448,94
ABLiberator,https://x.com/ABLiberator,447,535,4121,100
BarnabasJo18161,https://x.com/BarnabasJo18161,35,198,1,78
Blessin95511201,https://x.com/Blessin95511201,6,59,0,83
alimakki404,https://x.com/alimakki404,34,115,1086,94
jrahh_5y,https://x.com/jrahh_5y,39,276,595,94
Kashaf594021821,https://x.com/Kashaf594021821,86,681,612,94
Dele_flex,https://x.com/Dele_flex,890,2258,2691,100
Micamzy,https://x.com/Micamzy,140,235,3925,100
Olakisuke20,https://x.com/Olakisuke20,1017,1714,62493,100
OyelesiD74042,https://x.com/OyelesiD74042,44,171,56,89
kuraj92,https://x.com/kuraj92,169,1328,138,94
prettyhappy210,https://x.com/prettyhappy210,8,81,1,72
MALI_MONI_,https://x.com/MALI_MONI_,1065,2288,46,94
MilerSelipha,https://x.com/MilerSelipha,10,61,1,83
1king_dave,https://x.com/1king_dave,74,143,446,94
PeaceICT_CRM,https://x.com/PeaceICT_CRM,739,2652,1494,94
AnsoriSucipto,https://x.com/AnsoriSucipto,8,86,5,72
OmoteshoOmotoy4,https://x.com/OmoteshoOmotoy4,412,2048,590,94
,,412,2048,590,94
 Data Analytics (in view)",False,412,2048,590,94
MabelMba,https://x.com/MabelMba,18,100,65,94
Ayub_wsw,https://x.com/Ayub_wsw,930,1974,154,100
SamJordan8899,https://x.com/SamJordan8899,17,148,61,94
rare_aaron,https://x.com/rare_aaron,771,3181,7005,94
_laniola,https://x.com/_laniola,952,1374,4047,100
dayo_96,https://x.com/dayo_96,1600,2525,46685,100
StaciJa40985246,https://x.com/StaciJa40985246,187,1342,49,43
,,187,1342,49,89
,,187,1342,49,89
False,CANADA,2022,1342,49,94
Ebitu6,https://x.com/Ebitu6,87,399,49,89
IamOlaOlowo,https://x.com/IamOlaOlowo,113,613,1773,94
victorfat5,https://x.com/victorfat5,380,1075,310,100
YourMummyboifrd,https://x.com/YourMummyboifrd,578,1826,4013,4454
,,578,1826,4013,94
True,lagos,2013,1826,4013,100
brown_skin_qwen,https://x.com/brown_skin_qwen,217,616,669,100
doublybrave,https://x.com/doublybrave,158,297,2339,100
Hivyjune1,https://x.com/Hivyjune1,127,545,1259,94
bees_media_,https://x.com/bees_media_,795,890,4942,100
wisdom_m001,https://x.com/wisdom_m001,26,217,43,89
enascruz,https://x.com/enascruz,331,1056,10958,12171
,,331,1056,10958,94
,,331,1056,10958,94
,,331,1056,10958,94
True,,2012,1056,10958,100
DavidOloruntola,https://x.com/DavidOloruntola,59,614,39,83
udeonu51384,https://x.com/udeonu51384,2,13,0,83
Imehchukwu1,https://x.com/Imehchukwu1,106,899,183,198
,,106,899,183,94
True,"Melbourne,106,899,183,94
stanley_meshack,https://x.com/stanley_meshack,238,2374,3034,89
IJohn91,https://x.com/IJohn91,965,1108,1007,100
ANTHONY__UGO,https://x.com/ANTHONY__UGO,611,842,899,100
Qui_fund,https://x.com/Qui_fund,60,271,1966,94
Olublis,https://x.com/Olublis,462,1129,95,100
Opemiplenty10,https://x.com/Opemiplenty10,1022,3016,3343,100
xv76w8059,https://x.com/xv76w8059,42,67,13,94
karlpaul0x,https://x.com/karlpaul0x,672,2853,2890,94
FredrickNw9408,https://x.com/FredrickNw9408,138,557,79,94
Buchi_Onyx,https://x.com/Buchi_Onyx,74,100,5,89
godson_emm10014,https://x.com/godson_emm10014,163,167,72,100
BrodieDonovan5,https://x.com/BrodieDonovan5,9288,3437,17,13
 you don't get to decide you didn't.",False,9288,3437,17,94
palmer_tega16u,https://x.com/palmer_tega16u,266,194,44,89
KiriTah_bls,https://x.com/KiriTah_bls,553,444,3478,100
call_me_mmai,https://x.com/call_me_mmai,5906,1383,19085,21207
,,5906,1383,19085,100
True,somewhere on earth 🌎,2023,1383,19085,100
Hafsy80,https://x.com/Hafsy80,728,1454,442,100
akatamax1,https://x.com/akatamax1,1086,2312,3059,100
callmefearlesss,https://x.com/callmefearlesss,571,1032,916,1018
,,571,1032,916,100
,,571,1032,916,100
True,EARTH,2023,1032,916,100
Mrprojec,https://x.com/Mrprojec,284,255,261,290
,,284,255,261,100
 marketing, financial advisor,284,255,261,100
chetan_rinwa,https://x.com/chetan_rinwa,301,254,874,971
,,301,254,874,100
False,"Jodhpur,301,254,874,100
Brayoh15X,https://x.com/Brayoh15X,1347,2136,4949,5499
,,1347,2136,4949,100
,,1347,2136,4949,100
,,1347,2136,4949,100
False,Thika,2020,2136,4949,100
Ronny7goat_,https://x.com/Ronny7goat_,1045,1258,6350,100
Sticky_dude,https://x.com/Sticky_dude,945,1133,7554,100
interwebs_babes,https://x.com/interwebs_babes,764,1429,781,100
thomsynn,https://x.com/thomsynn,549,906,1033,1148
,,549,906,1033,100
False,"Miami Beach,549,906,1033,100
Damilol12346055,https://x.com/Damilol12346055,927,1520,1968,2187
,,927,1520,1968,100
,,927,1520,1968,100
,,927,1520,1968,100
,,927,1520,1968,100
,,927,1520,1968,100
False,,2022,1520,1968,100
Smith87074476,https://x.com/Smith87074476,883,1432,3083,94
Auwal_saeed28,https://x.com/Auwal_saeed28,2599,592,4103,100
zephansdudi,https://x.com/zephansdudi,2711,2619,1745,100
BiGsammed,https://x.com/BiGsammed,385,395,1378,100
gibironke5,https://x.com/gibironke5,412,1421,1857,94
,,412,1421,1857,94
True,,2021,1421,1857,100
KehindeEmm10468,https://x.com/KehindeEmm10468,94,473,65,94
YankeeDoodle7,https://x.com/YankeeDoodle7,3985,3452,28658,100
sam_mide,https://x.com/sam_mide,49,183,407,447
,,49,183,407,94
True,Nigeria,2020,183,407,100
🕊️jr",tiemdablew2,2020,183,407,100
United fan,,2020,183,407,100
,,2020,183,407,100
False,"Nairobi Kenya ,2020,183,407,100
Davebond_007,https://x.com/Davebond_007,294,402,1097,89
Lime_do15,https://x.com/Lime_do15,997,691,2094,2327
 check link in bio! Sol ADDRESS==EGf7fJ6RGqLiZgSPpZPyV7odb11zzx8GFDBtVzcLcWGw",False,997,691,2094,100
Abhishekrai_Gkp,https://x.com/Abhishekrai_Gkp,1254,2378,27628,30700
False,गोरखपुर उत्तर प्रदेश  भारत ,2022,2378,27628,100
Spatan_of_9ja,https://x.com/Spatan_of_9ja,379,498,908,100
lawson_ebai,https://x.com/lawson_ebai,785,2778,1780,94
frank_frayo,https://x.com/frank_frayo,126,221,496,89
maudaKM,https://x.com/maudaKM,658,1512,224,100
Gheepheeoffici1,https://x.com/Gheepheeoffici1,18,24,147,163
,,18,24,147,100
False,Nigeria,2022,24,147,100
Adeleke9Adeleke,https://x.com/Adeleke9Adeleke,433,1357,3102,94
KeketsoMnguni,https://x.com/KeketsoMnguni,651,1697,3928,100
NeduNwa60,https://x.com/NeduNwa60,977,846,1612,100
Earl20315513,https://x.com/Earl20315513,463,723,483,100
VictorOnyinyec5,https://x.com/VictorOnyinyec5,2068,4582,8146,9052
,,2068,4582,8146,100
,,2068,4582,8146,100
,,2068,4582,8146,100
