Username,URL,Followers,Following,Tweets,Raw_Score,FinalScore
Rickybubs,https://x.com/Rickybubs,159,194,162,90,100
CindyLaMar,https://x.com/CindyLaMar,3700,3480,19951,90,100
FuctkTweetr,https://x.com/FuctkTweetr,96,98,546,90,100
shawnjakupi,https://x.com/shawnjakupi,189,565,350,90,100
masturaishak1,https://x.com/masturaishak1,1725,1691,31364,90,100
ireneus21,https://x.com/ireneus21,91,138,116,90,100
GBMcrypto,https://x.com/GBMcrypto,901,1387,1981,90,100
phelomeister,https://x.com/phelomeister,68,114,591,90,100
crisbarros,https://x.com/crisbarros,320,438,221,90,100
QueenyLizB,https://x.com/QueenyLizB,640,1455,95,90,100
Vi3ioN_BTC,https://x.com/Vi3ioN_BTC,502,1462,7910,90,100
traderMicah,https://x.com/traderMicah,462,843,591,90,100
colterboy11,https://x.com/colterboy11,70,111,167,90,100
Mbith888,https://x.com/Mbith888,158,178,997,90,100
mfg_____,https://x.com/mfg_____,118,116,174,90,100
bowtie_crypto,https://x.com/bowtie_crypto,283,559,603,90,100
Invest_Block_,https://x.com/Invest_Block_,214,466,620,90,100
nm_dft,https://x.com/nm_dft,413,1098,914,90,100
realJimmyMcGill,https://x.com/realJimmyMcGill,258,770,4632,90,100
carlocabiladas,https://x.com/carlocabiladas,415,373,12026,90,100
ConcernedC842,https://x.com/ConcernedC842,227,552,7549,90,100
VictorV04532867,https://x.com/VictorV04532867,709,727,12380,90,100
yhmoon514,https://x.com/yhmoon514,1563,1086,3816,90,100
TYBEEBO,https://x.com/TYBEEBO,554,622,2363,90,100
millerrs,https://x.com/millerrs,518,588,2328,90,100
Bryan_Blue,https://x.com/Bryan_Blue,256,262,5602,90,100
park_actual,https://x.com/park_actual,430,513,104,90,100
NuclearBill1,https://x.com/NuclearBill1,371,478,530,90,100
LHFVII,https://x.com/LHFVII,360,619,2751,90,100
Rydog760,https://x.com/Rydog760,3605,475,1716,90,100
Ch1tticks,https://x.com/Ch1tticks,199,349,199,90,100
bk5442,https://x.com/bk5442,950,1718,2663,90,100
RaifStark,https://x.com/RaifStark,307,158,1065,90,100
Spartacuswrecks,https://x.com/Spartacuswrecks,479,239,423,90,100
Peterb20T,https://x.com/Peterb20T,223,395,810,90,100
MinnesotaRicha1,https://x.com/MinnesotaRicha1,23,63,252,90,100
SiewHongTeo1,https://x.com/SiewHongTeo1,152,217,92,90,100
Anonwarrior001,https://x.com/Anonwarrior001,263,593,96,90,100
Cryptonien2,https://x.com/Cryptonien2,407,706,6114,90,100
iloveshibes,https://x.com/iloveshibes,153,90,1295,90,100
MattWillard82,https://x.com/MattWillard82,500,243,2567,90,100
drtbmay,https://x.com/drtbmay,414,932,1081,90,100
LightObserver7,https://x.com/LightObserver7,166,109,2075,90,100
The95408134,https://x.com/The95408134,914,1589,22948,90,100
bogo_vitor,https://x.com/bogo_vitor,429,497,4408,90,100
notbenin,https://x.com/notbenin,245,217,5214,90,100
ensemble_llc,https://x.com/ensemble_llc,283,494,2165,90,100
nineywhaling,https://x.com/nineywhaling,123,267,1610,90,100
metehbuh,https://x.com/metehbuh,434,665,1384,90,100
lalli_sl,https://x.com/lalli_sl,909,161,6982,90,100
JMVerschuren273,https://x.com/JMVerschuren273,286,423,442,90,100
matt_linsley,https://x.com/matt_linsley,252,232,302,90,100
KirbyNilsen,https://x.com/KirbyNilsen,589,718,68,90,100
clarkhwells,https://x.com/clarkhwells,215,334,1477,90,100
KennDoerksen,https://x.com/KennDoerksen,196,112,1067,90,100
ulie99265245,https://x.com/ulie99265245,29,44,163,90,100
